City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
205,Babstovo,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
206,Tuktoyaktuk,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
207,New Norfolk,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
208,Agva,40.7994,30.7481,66.52,78,6,3.15,TR,clear sky
209,Oliveira Dos Brejinhos,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
210,Kaiu,59.0129,25.0551,64.18,64,80,6.69,EE,broken clouds
211,Usinsk,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
212,Vanavara,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
213,Juneau,22.0752,-159.319,80.92,79,75,5.01,US,light rain
214,Attawapiskat,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
215,Balaipungut,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
216,Arraial Do Cabo,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
217,Ponta Do Sol,14.8961,-24.4956,75.81,87,35,6.51,CV,scattered clouds
218,Parras,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
219,Yumen,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
220,Challans,50.0009,2.651,62.8,91,0,5.75,FR,clear sky
221,Belmonte,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
222,Maraa,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
223,Bilma,13.7292,5.2975,80.91,65,50,10.85,NG,scattered clouds
224,Geraldton,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
225,Amderma,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
226,Padang,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
227,Cayenne,5.3833,-52.95,78.57,85,12,7.58,GF,few clouds
228,Ballina,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
229,Beysehir,40.7994,30.7481,66.52,78,6,3.15,TR,clear sky
230,Vila Franca Do Campo,37.7167,-25.4333,66.61,82,86,6.51,PT,overcast clouds
231,Brae,60.3964,-1.353,53.51,92,3,12.84,GB,clear sky
232,Hayden,22.0752,-159.319,80.92,79,75,5.01,US,light rain
233,Visnes,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
234,Port Lincoln,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
235,Banda Aceh,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
236,Qaqortoq,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
237,Sentyabrskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
238,Ust-Kamchatsk,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
239,Shelburne,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
240,Thinadhoo,3.7833,72.9667,83.28,75,100,15.5,MV,overcast clouds
241,Opuwo,-19.5667,18.1167,38.77,70,0,5.75,NA,clear sky
242,Thompson,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
243,Waddan,27.0377,14.4283,79.34,36,1,9.24,LY,clear sky
244,Bengkulu,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
245,Thaba Nchu,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
246,Tilichiki,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
247,San Cristobal,-0.7393,-90.3518,71.55,95,99,4.0,EC,overcast clouds
248,Buenaventura,10.9878,-74.9547,82.49,76,6,22.35,CO,clear sky
249,Pakxan,20.4197,104.0439,77.85,81,100,5.39,LA,overcast clouds
