City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Kibala,TD,2021-07-19 01:39:40,9.1104,18.3463,71.73,97,100,1.01
228,Anapolis,BR,2021-07-19 01:39:41,-16.3267,-48.9528,70.27,64,0,13.8
229,Kruisfontein,ZA,2021-07-19 01:39:41,-34.0033,24.7314,56.21,23,1,10.33
230,Maniitsoq,GL,2021-07-19 01:39:41,65.4167,-52.9,45.45,90,100,15.84
231,Tecoanapa,MX,2021-07-19 01:39:42,16.5167,-98.75,81.54,77,57,4.97
232,Leningradskiy,RU,2021-07-19 01:39:42,69.3833,178.4167,37.15,99,100,7.2
233,Burnie,AU,2021-07-19 01:39:42,-41.0667,145.9167,53.82,75,100,8.32
234,Chuy,UY,2021-07-19 01:39:42,-33.6971,-53.4616,49.35,81,100,22.39
235,Darhan,MN,2021-07-19 01:39:42,49.4867,105.9228,59.2,92,100,6.44
236,Srednekolymsk,RU,2021-07-19 01:39:43,67.45,153.6833,60.69,37,61,5.44
237,Port-Cartier,CA,2021-07-19 01:39:43,50.0334,-66.8654,63.75,84,100,1.14
238,Upernavik,GL,2021-07-19 01:38:44,72.7868,-56.1549,37.18,87,100,15.28
239,Marawi,PH,2021-07-19 01:39:43,7.9986,124.2928,79.65,61,100,4.97
240,Goderich,CA,2021-07-19 01:39:44,43.7501,-81.7165,68.92,82,40,2.3
241,Vega De Alatorre,MX,2021-07-19 01:39:44,20.0333,-96.6333,80.1,79,11,2.37
242,Cherskiy,RU,2021-07-19 01:39:44,68.75,161.3,51.48,54,100,11.39
243,Kiama,AU,2021-07-19 01:39:44,-34.6833,150.8667,58.57,63,99,5.01
244,Arenapolis,BR,2021-07-19 01:39:45,-14.4503,-56.8461,65.25,72,28,8.61
245,Maceio,BR,2021-07-19 01:39:45,-9.6658,-35.7353,72.84,94,20,3.44
246,Dzhebariki-Khaya,RU,2021-07-19 01:39:45,62.2167,135.8,79.59,27,17,0.92
247,Touros,BR,2021-07-19 01:39:45,-5.1989,-35.4608,76.1,84,27,13.27
248,Springdale,US,2021-07-19 01:39:45,36.1867,-94.1288,80.42,79,75,8.99
249,Larsnes,NO,2021-07-19 01:39:46,62.2028,5.5773,53.67,83,90,3.47
250,Vigeland,NO,2021-07-19 01:39:46,58.0844,7.305,55.94,72,12,7.18
251,Moron,AR,2021-07-19 01:39:46,-34.6534,-58.6198,47.95,77,0,5.01
252,Xining,CN,2021-07-19 01:39:46,36.6167,101.7667,66.0,59,0,0.85
253,Savannakhet,LA,2021-07-19 01:39:47,16.566,104.751,80.62,83,75,4.61
254,Bo Phloi,TH,2021-07-19 01:39:47,14.3236,99.5161,75.88,93,100,7.74
255,Plainview,US,2021-07-19 01:39:47,40.7765,-73.4673,77.49,77,1,1.99
256,Izumo,JP,2021-07-19 01:39:47,35.3667,132.7667,89.55,66,40,10.36
257,Coahuayana,MX,2021-07-19 01:39:48,18.7333,-103.6833,81.88,88,98,1.86
258,Paducah,US,2021-07-19 01:39:48,37.0834,-88.6001,75.45,89,87,4.32
259,Santa Isabel Do Rio Negro,BR,2021-07-19 01:39:48,-0.4139,-65.0192,76.1,83,86,2.37
260,Puerto Madryn,AR,2021-07-19 01:39:49,-42.7692,-65.0385,49.19,38,27,14.34
261,North Bend,US,2021-07-19 01:39:49,43.4065,-124.2243,65.91,78,75,19.57
262,Mahebourg,MU,2021-07-19 01:37:52,-20.4081,57.7,68.29,88,40,9.22
263,Morant Bay,JM,2021-07-19 01:39:49,17.8815,-76.4093,83.82,85,84,8.34
264,La Ronge,CA,2021-07-19 01:39:50,55.1001,-105.2842,55.65,76,90,6.91
265,Avera,US,2021-07-19 01:39:50,33.194,-82.5271,77.05,65,98,4.94
266,Dudinka,RU,2021-07-19 01:36:54,69.4058,86.1778,48.34,65,100,9.6
267,Jalu,LY,2021-07-19 01:39:50,29.0331,21.5482,74.37,66,4,8.61
268,Olafsvik,IS,2021-07-19 01:39:51,64.8945,-23.7142,49.87,93,77,10.22
269,Ahipara,NZ,2021-07-19 01:39:51,-35.1667,173.1667,58.64,80,87,13.0
270,San Quintin,MX,2021-07-19 01:39:51,30.4833,-115.95,72.01,80,1,9.31
271,Pangnirtung,CA,2021-07-19 01:39:51,66.1451,-65.7125,44.78,92,100,1.9
272,Ust-Nera,RU,2021-07-19 01:39:51,64.5667,143.2,68.56,30,39,3.62
273,Bossier City,US,2021-07-19 01:39:52,32.516,-93.7321,89.78,72,1,9.22
274,The Valley,AI,2021-07-19 01:39:52,18.217,-63.0578,84.06,79,1,20.96
275,Hofn,IS,2021-07-19 01:39:52,64.2539,-15.2082,53.28,80,64,1.61
276,Mundo Nuevo,MX,2021-07-19 01:39:52,18.7,-95.5,81.1,78,2,8.21
277,Narsaq,GL,2021-07-19 01:39:52,60.9167,-46.05,46.62,96,100,2.55
278,Uglovskoye,RU,2021-07-19 01:35:35,51.3557,80.1942,65.12,72,1,9.24
279,Gardabani,GE,2021-07-19 01:39:53,41.4605,45.0928,75.29,51,0,1.81
280,Kushima,JP,2021-07-19 01:39:53,31.4583,131.2333,83.71,85,99,11.23
281,Victoria,HK,2021-07-19 01:37:03,22.2855,114.1577,81.32,93,100,1.99
282,Ust-Maya,RU,2021-07-19 01:39:41,60.4167,134.5333,79.95,42,32,2.8
283,Port Elizabeth,ZA,2021-07-19 01:39:53,-33.918,25.5701,44.89,70,0,2.3
284,Puquio,PE,2021-07-19 01:39:54,-14.7,-74.1333,52.3,43,8,4.34
285,Miandrivazo,MG,2021-07-19 01:39:54,-19.5167,45.4667,70.3,55,43,2.59
286,Klaksvik,FO,2021-07-19 01:39:54,62.2266,-6.589,49.12,88,2,2.59
287,Sasolburg,ZA,2021-07-19 01:39:54,-26.8136,27.817,37.17,26,0,3.91
288,Mount Isa,AU,2021-07-19 01:39:55,-20.7333,139.5,65.97,32,8,12.66
289,Yaan,NG,2021-07-19 01:39:55,7.3833,8.5667,71.64,94,100,5.64
290,Samarai,PG,2021-07-19 01:39:55,-10.6167,150.6667,81.07,71,100,13.94
291,Ixtapa,MX,2021-07-19 01:39:55,20.7,-105.2,87.03,70,40,11.5
292,Kenai,US,2021-07-19 01:36:33,60.5544,-151.2583,79.03,67,1,11.5
